country,continent,year,lifeExp,pop,gdpPercap
Sao Tome and Principe,Africa,1952,46.471,60011,879.5835855
Sao Tome and Principe,Africa,1957,48.945,61325,860.7369026
Senegal,Africa,1952,37.278,2755589,1450.356983
Senegal,Africa,1957,39.329,3054547,1567.653006
Sierra Leone,Africa,1952,30.331,2143249,879.7877358
Sierra Leone,Africa,1957,31.57,2295678,1004.484437
Somalia,Africa,1952,32.978,2526994,1135.749842
Somalia,Africa,1957,34.977,2780415,1258.147413
South Africa,Africa,1952,45.009,14264935,4725.295531
South Africa,Africa,1957,47.985,16151549,5487.104219
Sudan,Africa,1952,38.635,8504667,1615.991129
Sudan,Africa,1957,39.624,9753392,1770.337074
Swaziland,Africa,1952,41.407,290243,1148.376626
Swaziland,Africa,1957,43.424,326741,1244.708364
Tanzania,Africa,1952,41.215,8322925,716.6500721
Tanzania,Africa,1957,42.974,9452826,698.5356073
Togo,Africa,1952,38.596,1219113,859.8087482
Togo,Africa,1957,41.208,1357445,925.9083202
Tunisia,Africa,1952,44.6,3647735,1468.475631
Tunisia,Africa,1957,47.1,3950849,1395.232468
Uganda,Africa,1952,39.978,5824797,734.753484
Uganda,Africa,1957,42.571,6675501,774.3710692
Zambia,Africa,1952,42.038,2672000,1147.388831
Zambia,Africa,1957,44.077,3016000,1311.956766
Zimbabwe,Africa,1952,48.451,3080907,406.8841148
Zimbabwe,Africa,1957,50.469,3646340,518.7642681
